"site","lat","lng"
"Hlinsko",49.7629,15.9095
"Kutná Hora",49.9474,15.2674
"Mnichovo Hradiště, Dneboh",50.5307,15.0335
"Mohelnice, U cukrovaru",49.7833,16.9167
"Olomouc",49.5767,17.2311
"Vedrovice",49.0217,16.3808
"Velké Hoštice",49.93,17.96
"Blucina Cezavy",49.04,16.62
"Bylany",49.6667,15.25
"Bezděz",50.5342,14.72
"Chudeřín",50.3372,13.447
"Mušov Neurissen",48.91,16.564
"Mušov Königsgrab",48.9,16.5611
"Okrouhlík I.",50.842,14.355
"Uhelná rokle II.",50.6053,14.6846
"Orlík-Krkavčí skála",49.5108,14.1653
"Pod Černou Louží",49.51,15.513
"Radovesice III",50.411,14.0683
"Ďáblice",50.1423,14.4767
"Jenišův Újezd",50.5667,13.7167
"Jezevčí převis",50.7818,14.2145
"Kostelec nad Vltavou",49.5012,14.2109
"Měšice",50.1969,14.5194
"Radkovice-Osobovská skála",49.4796,13.458
"Sutny, Těšetice-Kyjovice",48.896,16.136
"Prasklice",49.2688,17.1858
"Slanska Hora",50.234,14.1
"Blučina",49.055,16.6465
"Miškovice; site: Praha 9",50.1579,14.5454
"Dluhonice",49.4544,17.4128
"Postoloprty",50.3598,13.7029
"Becov",50.4339,13.7233
"Zadní Hon, Březník",49.1716,16.1945
"Brno - Bystrc",49.2266,16.5311
"Brno-Lisen",49.2082,16.6947
"Brodek u Prostějova",49.3701,17.0907
"Vikletice",50.35,13.4025
"Dobešice",49.3268,14.2602
"Homolka",49.0308,14.9891
"Denemark",49.9277,15.2528
"Lovosice",50.5146,14.0515
"Makotřasy",50.1445,14.2147
"Máselník I.",50.6866,14.537
"Nový Bydžov",50.2415,15.4908
"Nemilany",49.5585,17.2463
"Řepčín",49.6079,17.2343
"Slavonin",49.57,17.23
"Pavlov",48.8742,16.6723
"Pavlov-Horní Pole",48.8745,16.6711
"Pod křídlem",50.667,14.5328
"Slany",50.2269,14.0837
"Vlkov u Spáleného-Babiny",49.6029,13.5771
"Spytihněv",49.1405,17.4982
"Tušimice",50.3833,13.3667
"Tvořihráz",48.9172,16.136
"Žopy",49.3326,17.6094
"Heřmánky",49.7069,17.7678
"Otmíče-Otmíčská hora",49.8633,13.948
"Šídelník I.",50.57,14.52
"Toušeň",50.1695,14.7158
"Mířkov-Racovský vrch",49.5898,12.8798
"Vysoká Lípa",50.856,14.348
"Starý zámek, Suchohrdly",48.8683,16.0948
"Na Kocourkách",49.0287,16.4376
"Slavonín 1",49.5691,17.2348
"Přáslavice",49.5847,17.3914
"Brno - Ivanovice",49.2641,16.5657
"Černá Louže",50.8556,14.3503
"Chabařovice",50.6732,13.9418
"Holubice",49.1775,16.8121
"Hulín",49.3171,17.4639
"Budkovice",49.0725,16.3462
"Těšetice",48.889,16.1581
"Mokrá",49.2233,16.7516
"Prag 6, Baba",50.05,14.4167
"Donbas",49.418,17.3108
"Šebkovice, Třebíč",49.1206,15.8198
"Široké Třebčice",50.2807,13.3835
"Zalany",50.5833,13.9
